Key Indicator,Constituent ID,Age,Preferred State,Gift Date,Gift Amount,Fund Split Amount,Fund Description,Campaign Description,Total Amount of Gifts_1,Gift Total Number of Gifts_1,Gift Payment Type,Gift Batch Description,First Gift Date,First Gift Amount,Last Gift Date,Last Gift Amount
"Individual","408023","","","3/4/2023","$25.00","$25.00","152-Peacock Nation","New Campaign","$25.00","1","PayPal","NetCommunity Donations","3/4/2023","$25.00","3/4/2023","$25.00"
"Individual","18394","84","Florida","7/27/2023","$4,000.00","$4,000.00","301-Peacock Athletic Golf Outing","New Campaign","$54,000.00","26","PayPal","NetCommunity Event Registration Fees","6/30/1973","$105.00","5/21/2024","$2,000.00"
"Individual","106591","55","New Jersey","4/12/2023","$100.00","$10.00","8-Accounting Department","New Campaign","$1,776.44","9","PayPal","NetCommunity Event Registration Fees","4/17/2019","$50.00","4/10/2024","$51.44"
"Individual","106591","55","New Jersey","4/12/2023","$100.00","$25.00","8-Accounting Department","New Campaign","$1,776.44","9","PayPal","NetCommunity Event Registration Fees","4/17/2019","$50.00","4/10/2024","$51.44"
"Individual","4768","73","New Jersey","1/30/2024","$50.00","$50.00","11-Men's Basketball","New Campaign","$2,381.99","18","PayPal","Peacock Nation Day - Almabase gifts","6/30/1974","$15.00","9/18/2024","$77.15"
"Individual","4768","73","New Jersey","3/17/2024","$25.72","$25.72","11-Men's Basketball","New Campaign","$2,381.99","18","PayPal","","6/30/1974","$15.00","9/18/2024","$77.15"
"Individual","409858","","Maryland","2/2/2024","$100.00","$100.00","2-Women's Soccer","New Campaign","$100.00","1","PayPal","Peacock Nation Day - Almabase gifts","2/2/2024","$100.00","2/2/2024","$100.00"
"Individual","393685","31","New Jersey","4/10/2024","$30.86","$10.29","5-Biology Department","New Campaign","$30.86","1","PayPal","SPD Gifts as of 4.16.24","4/27/2015","$5.00","4/10/2024","$30.86"
"Individual","8299","71","Illinois","3/18/2024","$51.44","$51.44","11-Men's Basketball","New Campaign","$51.44","1","PayPal","","6/30/1975","$5.00","3/18/2024","$51.44"
"Individual","409499","35","New Jersey","3/17/2024","$30.86","$10.29","11-Men's Basketball","New Campaign","$56.58","2","PayPal","","3/17/2024","$30.86","4/10/2024","$25.72"
"Individual","106816","43","New Jersey","2/2/2024","$200.00","$100.00","12-Women's Track","New Campaign","$488.79","4","PayPal","Peacock Nation Day - Almabase gifts","2/8/2011","$65.00","10/31/2024","$1,234.44"
"Individual","23084","","Maryland","12/26/2023","$4,000.00","$4,000.00","24-Library","New Campaign","$18,000.00","5","PayPal","NetCommunity Donations","6/30/1971","$100.00","12/26/2023","$4,000.00"
"Individual","409928","","Ontario","2/2/2024","$100.00","$100.00","2-Women's Soccer","New Campaign","$100.00","1","PayPal","Peacock Nation Day - Almabase gifts","2/2/2024","$100.00","2/2/2024","$100.00"
"Individual","2871","75","New Jersey","1/31/2024","$100.00","$50.00","12-Women's Track","New Campaign","$4,560.00","25","PayPal","Peacock Nation Day - Almabase gifts","6/30/1975","$10.00","10/2/2024","$1,700.00"
"Individual","42009","49","New Jersey","2/1/2024","$25.00","$25.00","48-Men's Soccer Program","New Campaign","$25.00","1","PayPal","Peacock Nation Day - Almabase gifts","10/5/2005","$25.00","2/1/2024","$25.00"
"Individual","409873","","New Jersey","2/2/2024","$25.00","$25.00","49-Swim Team  Women's","New Campaign","$125.00","2","PayPal","Peacock Nation Day - Almabase gifts","2/1/2024","$100.00","2/2/2024","$25.00"
"Individual","409947","","Florida","2/2/2024","$50.00","$50.00","49-Swim Team  Women's","New Campaign","$50.00","1","PayPal","Peacock Nation Day - Almabase gifts","2/2/2024","$50.00","2/2/2024","$50.00"
"Individual","409859","","South Carolina","2/2/2024","$50.00","$50.00","49-Swim Team  Women's","New Campaign","$50.00","1","PayPal","Peacock Nation Day - Almabase gifts","2/2/2024","$50.00","2/2/2024","$50.00"
"Individual","2871","75","New Jersey","1/31/2024","$100.00","$50.00","49-Swim Team  Women's","New Campaign","$4,560.00","25","PayPal","Peacock Nation Day - Almabase gifts","6/30/1975","$10.00","10/2/2024","$1,700.00"
"Individual","409921","","South Carolina","2/2/2024","$10.00","$10.00","49-Swim Team  Women's","New Campaign","$10.00","1","PayPal","Peacock Nation Day - Almabase gifts","2/2/2024","$10.00","2/2/2024","$10.00"
"Individual","28674","44","New Jersey","2/3/2024","$100.00","$100.00","85-Softball","New Campaign","$125.00","2","PayPal","Peacock Nation Day - Almabase gifts","10/7/1998","$200.00","2/3/2024","$100.00"
"Individual","400233","","Connecticut","2/1/2024","$50.00","$50.00","85-Softball","New Campaign","$652.56","3","PayPal","Peacock Nation Day - Almabase gifts","1/22/2019","$50.00","2/1/2024","$50.00"
"Individual","409922","","New Jersey","2/2/2024","$25.00","$25.00","85-Softball","New Campaign","$25.00","1","PayPal","Peacock Nation Day - Almabase gifts","2/2/2024","$25.00","2/2/2024","$25.00"
"Individual","406557","","New York","3/1/2023","$99.00","$99.00","85-Softball","New Campaign","$697.28","9","PayPal","NetCommunity Donations","1/23/2020","$50.00","3/1/2023","$99.00"
"Individual","409815","","Louisiana","1/23/2024","$100.00","$100.00","85-Softball","New Campaign","$100.00","1","PayPal","NetCommunity Donations","1/23/2024","$100.00","1/23/2024","$100.00"
"Individual","9012","60","New Jersey","2/2/2024","$25.00","$25.00","85-Softball","New Campaign","$325.00","2","PayPal","Peacock Nation Day - Almabase gifts","4/1/1993","$25.00","2/2/2024","$25.00"
"Individual","409920","","New Jersey","2/2/2024","$10.00","$10.00","85-Softball","New Campaign","$20.00","2","PayPal","Peacock Nation Day - Almabase gifts","2/2/2024","$10.00","2/2/2024","$10.00"
"Individual","7859","58","North Carolina","2/2/2024","$50.00","$50.00","85-Softball","New Campaign","$350.00","2","PayPal","Peacock Nation Day - Almabase gifts","12/31/1995","$100.00","2/2/2024","$50.00"
"Individual","2172","58","New Jersey","2/3/2024","$5.00","$5.00","85-Softball","New Campaign","$55.00","2","PayPal","Peacock Nation Day - Almabase gifts","11/14/1996","$50.00","2/3/2024","$5.00"
"Individual","409898","","North Carolina","2/3/2024","$60.00","$60.00","91-Womens Basketball","New Campaign","$60.00","1","PayPal","Peacock Nation Day - Almabase gifts","2/3/2024","$60.00","2/3/2024","$60.00"
"Organization","409934","","New Jersey","2/2/2024","$500.00","$500.00","91-Womens Basketball","New Campaign","$500.00","1","PayPal","Peacock Nation Day - Almabase gifts","2/2/2024","$500.00","2/2/2024","$500.00"
"Individual","409917","","New York","2/2/2024","$100.00","$100.00","91-Womens Basketball","New Campaign","$100.00","1","PayPal","Peacock Nation Day - Almabase gifts","2/2/2024","$100.00","2/2/2024","$100.00"
"Individual","4083","68","New Jersey","11/25/2023","$1,000.00","$1,000.00","91-Womens Basketball","New Campaign","$6,525.00","7","PayPal","NetCommunity Donations","6/30/1985","$10.00","11/20/2024","$1,028.70"
"Individual","408717","","Virginia","2/2/2024","$100.00","$100.00","85-Softball","New Campaign","$450.00","2","PayPal","Peacock Nation Day - Almabase gifts","9/6/2023","$250.00","2/2/2024","$100.00"
"Individual","409583","","","2/2/2024","$50.00","$50.00","85-Softball","New Campaign","$150.00","2","PayPal","Peacock Nation Day - Almabase gifts","9/6/2023","$50.00","2/3/2024","$100.00"
"Individual","22918","81","Puerto Rico","2/27/2023","$50.00","$50.00","138-Diamond Club (Baseball Donations)","New Campaign","$526.70","9","PayPal","NetCommunity Donations","1/1/1960","$20.00","12/2/2024","$50.00"
"Individual","409842","","Rhode Island","1/31/2024","$50.00","$50.00","138-Diamond Club (Baseball Donations)","New Campaign","$50.00","1","PayPal","Peacock Nation Day - Almabase gifts","1/31/2024","$50.00","1/31/2024","$50.00"
"Individual","409906","","New Jersey","2/3/2024","$100.00","$100.00","138-Diamond Club (Baseball Donations)","New Campaign","$100.00","1","PayPal","Peacock Nation Day - Almabase gifts","2/3/2024","$100.00","2/3/2024","$100.00"
"Individual","408054","","Pennsylvania","11/28/2023","$500.00","$500.00","138-Diamond Club (Baseball Donations)","New Campaign","$500.00","1","PayPal","NetCommunity Donations","11/28/2023","$500.00","11/28/2023","$500.00"
"Individual","394264","","Pennsylvania","2/2/2024","$100.00","$100.00","91-Womens Basketball","New Campaign","$100.00","1","PayPal","Peacock Nation Day - Almabase gifts","11/28/2015","$100.00","2/2/2024","$100.00"
"Individual","409882","","New Jersey","2/1/2024","$50.00","$50.00","138-Diamond Club (Baseball Donations)","New Campaign","$50.00","1","PayPal","Peacock Nation Day - Almabase gifts","2/1/2024","$50.00","2/1/2024","$50.00"
"Individual","409871","","New Jersey","2/1/2024","$100.00","$100.00","138-Diamond Club (Baseball Donations)","New Campaign","$100.00","1","PayPal","Peacock Nation Day - Almabase gifts","2/1/2024","$100.00","2/1/2024","$100.00"
"Individual","409957","","New Jersey","2/1/2024","$50.00","$50.00","138-Diamond Club (Baseball Donations)","New Campaign","$50.00","1","PayPal","Peacock Nation Day - Almabase gifts","2/1/2024","$50.00","2/1/2024","$50.00"
"Individual","100098","44","New Jersey","2/2/2024","$100.00","$100.00","138-Diamond Club (Baseball Donations)","New Campaign","$352.56","4","PayPal","Peacock Nation Day - Almabase gifts","2/26/2021","$102.56","2/2/2024","$100.00"
"Individual","409875","","New York","2/1/2024","$10.00","$10.00","138-Diamond Club (Baseball Donations)","New Campaign","$10.00","1","PayPal","Peacock Nation Day - Almabase gifts","2/1/2024","$10.00","2/1/2024","$10.00"
"Individual","409953","","New Jersey","2/2/2024","$100.00","$100.00","138-Diamond Club (Baseball Donations)","New Campaign","$100.00","1","PayPal","Peacock Nation Day - Almabase gifts","2/2/2024","$100.00","2/2/2024","$100.00"
"Individual","12301","61","New Jersey","2/2/2024","$25.00","$25.00","138-Diamond Club (Baseball Donations)","New Campaign","$973.44","5","PayPal","Peacock Nation Day - Almabase gifts","2/20/1996","$250.00","3/19/2024","$123.44"
"Individual","382761","","New Jersey","2/2/2024","$20.00","$20.00","85-Softball","New Campaign","$20.00","1","PayPal","Peacock Nation Day - Almabase gifts","6/16/2007","$1,064.00","2/2/2024","$20.00"
"Individual","409754","","New Jersey","1/31/2024","$10.00","$10.00","138-Diamond Club (Baseball Donations)","New Campaign","$10.00","1","PayPal","Peacock Nation Day - Almabase gifts","1/31/2024","$10.00","1/31/2024","$10.00"
"Individual","409863","","New Jersey","2/1/2024","$100.00","$100.00","138-Diamond Club (Baseball Donations)","New Campaign","$100.00","1","PayPal","Peacock Nation Day - Almabase gifts","2/1/2024","$100.00","2/1/2024","$100.00"
"Individual","409866","","New Jersey","2/1/2024","$50.00","$50.00","138-Diamond Club (Baseball Donations)","New Campaign","$50.00","1","PayPal","Peacock Nation Day - Almabase gifts","2/1/2024","$50.00","2/1/2024","$50.00"
"Individual","409880","","Colorado","2/1/2024","$100.00","$100.00","138-Diamond Club (Baseball Donations)","New Campaign","$100.00","1","PayPal","Peacock Nation Day - Almabase gifts","2/1/2024","$100.00","2/1/2024","$100.00"
"Individual","409838","","New Jersey","1/31/2024","$50.00","$50.00","138-Diamond Club (Baseball Donations)","New Campaign","$50.00","1","PayPal","Peacock Nation Day - Almabase gifts","1/31/2024","$50.00","1/31/2024","$50.00"
"Individual","409840","","New Jersey","1/31/2024","$1.00","$1.00","138-Diamond Club (Baseball Donations)","New Campaign","$1.00","1","PayPal","Peacock Nation Day - Almabase gifts","1/31/2024","$1.00","1/31/2024","$1.00"
"Individual","7052","74","New Jersey","1/29/2024","$100.00","$100.00","138-Diamond Club (Baseball Donations)","New Campaign","$951.70","8","PayPal","NetCommunity Donations","6/30/1975","$25.00","4/10/2024","$100.00"
"Individual","107066","43","New Jersey","2/2/2024","$25.00","$25.00","138-Diamond Club (Baseball Donations)","New Campaign","$141.28","3","PayPal","Peacock Nation Day - Almabase gifts","3/4/2013","$100.00","2/2/2024","$25.00"
"Individual","409911","","New Jersey","2/3/2024","$10.00","$10.00","138-Diamond Club (Baseball Donations)","New Campaign","$10.00","1","PayPal","Peacock Nation Day - Almabase gifts","2/3/2024","$10.00","2/3/2024","$10.00"
"Individual","39076","52","New Jersey","2/2/2024","$250.00","$250.00","138-Diamond Club (Baseball Donations)","New Campaign","$2,768.64","17","PayPal","Peacock Nation Day - Almabase gifts","12/5/1995","$25.00","12/3/2024","$102.87"
"Individual","39172","51","New Jersey","3/28/2024","$100.00","$100.00","138-Diamond Club (Baseball Donations)","New Campaign","$165.00","2","PayPal","","2/17/2014","$40.00","3/28/2024","$100.00"
"Individual","409969","","New York","2/10/2024","$100.00","$100.00","138-Diamond Club (Baseball Donations)","New Campaign","$100.00","1","PayPal","","2/10/2024","$100.00","2/10/2024","$100.00"
"Individual","409867","","Pennsylvania","2/1/2024","$10.00","$10.00","138-Diamond Club (Baseball Donations)","New Campaign","$10.00","1","PayPal","Peacock Nation Day - Almabase gifts","2/1/2024","$10.00","2/1/2024","$10.00"
"Individual","409870","","New York","2/1/2024","$10.00","$10.00","138-Diamond Club (Baseball Donations)","New Campaign","$10.00","1","PayPal","Peacock Nation Day - Almabase gifts","2/1/2024","$10.00","2/1/2024","$10.00"
"Individual","409757","","New Jersey","1/31/2024","$100.00","$100.00","138-Diamond Club (Baseball Donations)","New Campaign","$100.00","1","PayPal","Peacock Nation Day - Almabase gifts","12/6/2023","$2,500.00","1/31/2024","$100.00"
"Individual","409807","","","4/10/2024","$51.44","$51.44","138-Diamond Club (Baseball Donations)","New Campaign","$151.44","2","PayPal","SPD Gifts as of 4.16.24","1/22/2024","$100.00","4/10/2024","$51.44"
"Individual","39076","52","New Jersey","2/10/2023","$250.00","$250.00","138-Diamond Club (Baseball Donations)","New Campaign","$2,768.64","17","PayPal","NetCommunity Donations","12/5/1995","$25.00","12/3/2024","$102.87"
"Individual","7809","65","New Jersey","3/3/2023","$50.00","$50.00","138-Diamond Club (Baseball Donations)","New Campaign","$200.00","3","PayPal","NetCommunity Donations","6/30/1982","$10.00","4/25/2024","$50.00"
"Individual","391695","34","New Jersey","4/13/2024","$25.72","$25.72","146-Campus Ministry","New Campaign","$371.57","9","PayPal","SPD Gifts as of 4.16.24","5/29/2012","$20.00","11/5/2024","$20.00"
"Individual","408277","","","6/27/2023","$50.00","$50.00","152-Peacock Nation","New Campaign","$50.00","1","PayPal","NetCommunity Donations","6/27/2023","$50.00","6/27/2023","$50.00"
"Individual","406447","","Florida","2/27/2023","$500.00","$500.00","152-Peacock Nation","New Campaign","$1,350.00","4","PayPal","NetCommunity Donations","3/27/2022","$350.00","10/18/2023","$250.00"
"Individual","47072","48","New Jersey","2/21/2023","$25.00","$25.00","152-Peacock Nation","New Campaign","$3,803.30","27","PayPal","NetCommunity Donations","6/30/2003","$25.00","11/21/2024","$50.00"
"Individual","42116","49","New Jersey","3/10/2023","$50.00","$50.00","152-Peacock Nation","New Campaign","$4,002.56","14","PayPal","NetCommunity Event Registration Fees","4/6/1999","$50.00","10/27/2023","$4,000.00"
"Individual","14043","57","Maryland","2/21/2023","$50.00","$50.00","152-Peacock Nation","New Campaign","$100.00","2","PayPal","NetCommunity Donations","6/30/1991","$25.00","2/21/2023","$50.00"
"Individual","401496","56","New Jersey","3/29/2023","$150.00","$145.00","306-Hearts & Minds Non-deductible (DAA)","New Campaign","$703.84","6","PayPal","NetCommunity Event Registration Fees","4/12/2019","$100.00","3/29/2023","$150.00"
"Individual","389951","","New Jersey","3/28/2023","$150.00","$145.00","306-Hearts & Minds Non-deductible (DAA)","New Campaign","$369.57","5","PayPal","NetCommunity Event Registration Fees","1/20/2017","$100.00","2/15/2024","$100.00"
"Individual","7630","","New Jersey","3/28/2024","$165.00","$165.00","310-Alumni Golf Day/Non-Deductible","New Campaign","$165.00","1","PayPal","","3/28/2024","$165.00","3/28/2024","$165.00"
"Individual","6482","78","New Jersey","9/5/2023","$440.00","$440.00","310-Alumni Golf Day/Non-Deductible","New Campaign","$2,268.40","8","PayPal","NetCommunity Event Registration Fees","6/30/1971","$37.00","4/18/2024","$175.00"
"Individual","392941","48","New Jersey","6/12/2024","$155.00","$154.00","306-Hearts & Minds Non-deductible (DAA)","New Campaign","$630.00","7","PayPal","","3/28/2015","$30.00","11/29/2024","$25.00"
"Individual","391450","33","New Jersey","5/2/2023","$150.00","$5.00","305-Hearts & Minds Scholarship Dinner (DAA)","New Campaign","$1,045.00","9","PayPal","NetCommunity Event Registration Fees","10/30/2009","$25.00","3/15/2024","$100.00"
"Individual","386548","","New Jersey","4/28/2023","$150.00","$5.00","305-Hearts & Minds Scholarship Dinner (DAA)","New Campaign","$489.00","5","PayPal","NetCommunity Event Registration Fees","2/10/2014","$75.00","4/18/2024","$155.00"
"Individual","391450","33","New Jersey","5/2/2023","$150.00","$145.00","306-Hearts & Minds Non-deductible (DAA)","New Campaign","$1,045.00","9","PayPal","NetCommunity Event Registration Fees","10/30/2009","$25.00","3/15/2024","$100.00"
"Individual","392941","48","New Jersey","6/12/2024","$155.00","$1.00","305-Hearts & Minds Scholarship Dinner (DAA)","New Campaign","$630.00","7","PayPal","","3/28/2015","$30.00","11/29/2024","$25.00"
"Individual","386548","","New Jersey","4/28/2023","$150.00","$145.00","306-Hearts & Minds Non-deductible (DAA)","New Campaign","$489.00","5","PayPal","NetCommunity Event Registration Fees","2/10/2014","$75.00","4/18/2024","$155.00"
"Individual","389951","","New Jersey","3/28/2023","$150.00","$5.00","305-Hearts & Minds Scholarship Dinner (DAA)","New Campaign","$369.57","5","PayPal","NetCommunity Event Registration Fees","1/20/2017","$100.00","2/15/2024","$100.00"
"Individual","410299","","","5/7/2024","$500.00","$308.00","306-Hearts & Minds Non-deductible (DAA)","New Campaign","$500.00","2","PayPal","Amendment Batch","5/7/2024","$0.00","5/7/2024","$500.00"
"Individual","18394","84","Florida","5/21/2024","$2,000.00","$1,232.00","306-Hearts & Minds Non-deductible (DAA)","New Campaign","$54,000.00","26","PayPal","","6/30/1973","$105.00","5/21/2024","$2,000.00"
"Individual","13559","74","Connecticut","5/24/2024","$500.00","$308.00","306-Hearts & Minds Non-deductible (DAA)","New Campaign","$1,907.15","6","PayPal","Amendment Batch","6/30/1972","$25.00","9/21/2024","$100.00"
"Individual","1147","65","New Jersey","4/29/2024","$155.00","$1.00","306-Hearts & Minds Non-deductible (DAA)","New Campaign","$6,292.55","15","PayPal","","6/30/1983","$75.00","10/30/2024","$250.00"
"Individual","1147","65","New Jersey","4/30/2023","$150.00","$145.00","306-Hearts & Minds Non-deductible (DAA)","New Campaign","$6,292.55","15","PayPal","NetCommunity Event Registration Fees","6/30/1983","$75.00","10/30/2024","$250.00"
"Individual","11000","74","New Jersey","9/10/2023","$220.00","$220.00","310-Alumni Golf Day/Non-Deductible","New Campaign","$220.00","1","PayPal","NetCommunity Event Registration Fees","4/2/1993","$50.00","9/10/2023","$220.00"
"Individual","391695","34","New Jersey","7/20/2023","$25.00","$25.00","331-Unrestricted","New Campaign","$371.57","9","PayPal","NetCommunity Event Registration Fees","5/29/2012","$20.00","11/5/2024","$20.00"
"Individual","22666","79","Florida","7/2/2023","$25.00","$25.00","331-Unrestricted","New Campaign","$25.00","1","PayPal","NetCommunity Donations","1/1/1960","$10.00","9/25/2024","$25.00"
"Individual","1856","","Massachusetts","6/26/2023","$50.00","$50.00","331-Unrestricted","New Campaign","$100.00","2","PayPal","NetCommunity Donations","6/30/1976","$10.00","5/24/2024","$50.00"
"Individual","383662","49","New Jersey","4/18/2024","$330.00","$330.00","310-Alumni Golf Day/Non-Deductible","New Campaign","$6,768.11","15","PayPal","","10/6/2009","$150.00","4/18/2024","$330.00"
"Individual","383662","49","New Jersey","8/12/2023","$880.00","$880.00","310-Alumni Golf Day/Non-Deductible","New Campaign","$6,768.11","15","PayPal","NetCommunity Event Registration Fees","10/6/2009","$150.00","4/18/2024","$330.00"
"Individual","14514","77","Florida","6/9/2023","$35.00","$35.00","331-Unrestricted","New Campaign","$186.70","4","PayPal","NetCommunity Donations","6/30/1969","$25.00","7/9/2024","$40.00"
"Organization","408265","","New Jersey","6/13/2023","$100.00","$100.00","331-Unrestricted","New Campaign","$100.00","1","PayPal","NetCommunity Donations","6/13/2023","$100.00","6/13/2023","$100.00"
"Individual","7976","83","California","6/28/2023","$100.00","$100.00","331-Unrestricted","New Campaign","$151.70","2","PayPal","NetCommunity Donations","1/1/1960","$25.00","6/28/2023","$100.00"
"Individual","387584","37","New Jersey","6/7/2023","$100.00","$100.00","331-Unrestricted","New Campaign","$1,535.41","11","PayPal","NetCommunity Donations","5/21/2013","$50.00","6/22/2024","$200.00"
"Individual","408120","","","4/29/2023","$35.00","$35.00","331-Unrestricted","New Campaign","$35.00","1","PayPal","NetCommunity Event Registration Fees","4/29/2023","$35.00","4/29/2023","$35.00"
"Individual","45829","82","New York","4/6/2023","$100.00","$100.00","331-Unrestricted","New Campaign","$552.87","6","PayPal","NetCommunity Donations","8/28/2000","$30.00","12/3/2024","$102.87"
"Individual","408172","23","","5/14/2023","$35.00","$35.00","331-Unrestricted","New Campaign","$35.00","1","PayPal","NetCommunity Event Registration Fees","5/14/2023","$35.00","5/14/2023","$35.00"
"Individual","4783","69","New Jersey","3/5/2024","$150.00","$150.00","331-Unrestricted","New Campaign","$910.00","10","PayPal","NetCommunity Donations","6/30/1979","$50.00","3/5/2024","$150.00"
"Individual","403640","","New York","1/13/2024","$20.00","$20.00","331-Unrestricted","New Campaign","$65.00","3","PayPal","NetCommunity Donations","5/6/2020","$50.00","1/13/2024","$20.00"
"Individual","106791","43","New Jersey","6/8/2024","$50.00","$50.00","331-Unrestricted","New Campaign","$50.00","1","PayPal","NetCommunity Donations","6/8/2024","$50.00","6/8/2024","$50.00"
"Individual","406447","","Florida","10/18/2023","$250.00","$250.00","331-Unrestricted","New Campaign","$1,350.00","4","PayPal","NetCommunity Donations","3/27/2022","$350.00","10/18/2023","$250.00"
"Individual","380580","52","New Jersey","10/10/2023","$50.00","$50.00","331-Unrestricted","New Campaign","$501.44","9","PayPal","NetCommunity Donations","3/6/2006","$25.00","9/18/2024","$51.44"
